TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,DATE
Theft of Bicycle,2005,2,15,0,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2005-02-15T00:00:00Z
Theft of Bicycle,2006,8,28,8,30,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2006-08-28T00:00:00Z
Theft of Bicycle,2008,7,15,19,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2008-07-15T00:00:00Z
Theft of Bicycle,2009,10,15,0,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2009-10-15T00:00:00Z
Theft of Bicycle,2011,9,28,12,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2011-09-28T00:00:00Z
Theft of Bicycle,2015,8,9,22,0,10XX ALBERNI ST,West End,491068.6829,5459126.1374,2015-08-09T00:00:00Z
Theft of Bicycle,2012,6,5,13,0,10XX ALBERNI ST,West End,491073.0884,5459108.7547,2012-06-05T00:00:00Z
Theft of Bicycle,2015,7,19,16,0,10XX ALBERNI ST,West End,491097.5791,5459084.1611,2015-07-19T00:00:00Z
Theft of Bicycle,2017,9,2,3,38,10XX ALBERNI ST,West End,491098.6067,5459083.1288,2017-09-02T00:00:00Z
Theft of Bicycle,2006,1,1,13,33,10XX ALBERNI ST,West End,491103.0215,5459078.6959,2006-01-01T00:00:00Z
Theft of Bicycle,2021,11,1,1,30,10XX ALBERNI ST,West End,491103.0215,5459078.6959,2021-11-01T00:00:00Z
Theft of Bicycle,2018,7,29,23,30,10XX ALBERNI ST,West End,491104.291,5459077.4207,2018-07-29T00:00:00Z
Theft of Bicycle,2003,8,14,15,30,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2003-08-14T00:00:00Z
Theft of Bicycle,2004,4,15,8,0,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2004-04-15T00:00:00Z
Theft of Bicycle,2004,7,14,20,40,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2004-07-14T00:00:00Z
Theft of Bicycle,2007,1,13,18,50,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2007-01-13T00:00:00Z
Theft of Bicycle,2007,8,4,23,0,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2007-08-04T00:00:00Z
Theft of Bicycle,2014,11,10,14,0,10XX BALFOUR AVE,Shaughnessy,490697.2042,5455444.2772,2014-11-10T00:00:00Z
Theft of Bicycle,2014,8,13,12,30,10XX BARCLAY ST,West End,490795.7612,5458913.0082,2014-08-13T00:00:00Z
Theft of Bicycle,2022,1,18,13,0,10XX BARCLAY ST,West End,490808.7718,5458912.6577,2022-01-18T00:00:00Z
Theft of Bicycle,2003,6,3,12,0,10XX BARCLAY ST,West End,490808.8809,5458899.3392,2003-06-03T00:00:00Z
Theft of Bicycle,2003,12,8,22,30,10XX BARCLAY ST,West End,490810.23,5458911.1387,2003-12-08T00:00:00Z
Theft of Bicycle,2009,7,11,0,30,10XX BARCLAY ST,West End,490810.23,5458911.1387,2009-07-11T00:00:00Z
Theft of Bicycle,2014,12,11,12,0,10XX BARCLAY ST,West End,490810.23,5458911.1387,2014-12-11T00:00:00Z
Theft of Bicycle,2015,2,14,15,0,10XX BARCLAY ST,West End,490810.23,5458911.1387,2015-02-14T00:00:00Z
Theft of Bicycle,2013,9,18,14,0,10XX BARCLAY ST,West End,490820.7257,5458900.2035,2013-09-18T00:00:00Z
Theft of Bicycle,2006,10,12,15,0,10XX BARCLAY ST,West End,490822.0006,5458885.6702,2006-10-12T00:00:00Z
Theft of Bicycle,2007,6,16,11,45,10XX BARCLAY ST,West End,490822.0006,5458885.6702,2007-06-16T00:00:00Z
Theft of Bicycle,2022,9,11,22,0,10XX BARCLAY ST,West End,490823.3497,5458897.4697,2022-09-11T00:00:00Z
Theft of Bicycle,2016,7,6,3,13,10XX BARCLAY ST,West End,490833.4368,5458886.9598,2016-07-06T00:00:00Z
Theft of Bicycle,2014,7,4,20,0,10XX BARCLAY ST,West End,490846.9652,5458872.8655,2014-07-04T00:00:00Z
Theft of Bicycle,2016,4,7,18,30,10XX BARCLAY ST,West End,490846.9652,5458872.8655,2016-04-07T00:00:00Z
Theft of Bicycle,2019,8,5,1,0,10XX BARCLAY ST,West End,490847.1395,5458872.6832,2019-08-05T00:00:00Z
Theft of Bicycle,2015,2,4,22,0,10XX BARCLAY ST,West End,490848.24,5458858.3322,2015-02-04T00:00:00Z
Theft of Bicycle,2015,6,20,19,0,10XX BARCLAY ST,West End,490863.9836,5458841.9294,2015-06-20T00:00:00Z
Theft of Bicycle,2016,9,7,6,36,10XX BARCLAY ST,West End,490863.9836,5458841.9294,2016-09-07T00:00:00Z
Theft of Bicycle,2019,9,12,9,0,10XX BARCLAY ST,West End,490863.9836,5458841.9294,2019-09-12T00:00:00Z
Theft of Bicycle,2011,4,15,18,0,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2011-04-15T00:00:00Z
Theft of Bicycle,2013,5,23,13,15,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2013-05-23T00:00:00Z
Theft of Bicycle,2014,6,9,19,30,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2014-06-09T00:00:00Z
Theft of Bicycle,2014,8,2,13,0,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2014-08-02T00:00:00Z
Theft of Bicycle,2015,7,17,13,23,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2015-07-17T00:00:00Z
Theft of Bicycle,2015,8,3,0,14,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2015-08-03T00:00:00Z
Theft of Bicycle,2017,9,26,9,15,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2017-09-26T00:00:00Z
Theft of Bicycle,2018,6,3,17,0,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2018-06-03T00:00:00Z
Theft of Bicycle,2018,6,5,17,30,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2018-06-05T00:00:00Z
Theft of Bicycle,2018,6,17,15,50,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2018-06-17T00:00:00Z
Theft of Bicycle,2019,2,22,16,15,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2019-02-22T00:00:00Z
Theft of Bicycle,2019,9,6,18,15,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2019-09-06T00:00:00Z
Theft of Bicycle,2022,8,27,14,12,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2022-08-27T00:00:00Z
Theft of Bicycle,2022,11,2,20,28,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2022-11-02T00:00:00Z
Theft of Bicycle,2003,8,22,14,47,10XX BEACH AVE,West End,490197.4785,5458239.4212,2003-08-22T00:00:00Z
Theft of Bicycle,2004,5,9,11,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-05-09T00:00:00Z
Theft of Bicycle,2004,7,8,16,45,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-08T00:00:00Z
Theft of Bicycle,2004,7,15,11,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-15T00:00:00Z
Theft of Bicycle,2004,7,16,13,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-16T00:00:00Z
Theft of Bicycle,2004,7,20,18,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-20T00:00:00Z
Theft of Bicycle,2004,8,18,13,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-08-18T00:00:00Z
Theft of Bicycle,2004,10,3,14,50,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-10-03T00:00:00Z
Theft of Bicycle,2005,2,3,17,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2005-02-03T00:00:00Z
Theft of Bicycle,2005,6,10,16,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2005-06-10T00:00:00Z
Theft of Bicycle,2005,6,13,12,10,10XX BEACH AVE,West End,490197.4785,5458239.4212,2005-06-13T00:00:00Z
Theft of Bicycle,2005,10,4,11,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2005-10-04T00:00:00Z
Theft of Bicycle,2005,10,4,18,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2005-10-04T00:00:00Z
Theft of Bicycle,2005,10,5,11,45,10XX BEACH AVE,West End,490197.4785,5458239.4212,2005-10-05T00:00:00Z
Theft of Bicycle,2005,10,7,20,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2005-10-07T00:00:00Z
Theft of Bicycle,2006,1,28,10,15,10XX BEACH AVE,West End,490197.4785,5458239.4212,2006-01-28T00:00:00Z
Theft of Bicycle,2006,6,10,9,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2006-06-10T00:00:00Z
Theft of Bicycle,2006,6,19,14,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2006-06-19T00:00:00Z
Theft of Bicycle,2006,7,7,15,20,10XX BEACH AVE,West End,490197.4785,5458239.4212,2006-07-07T00:00:00Z
Theft of Bicycle,2006,7,9,16,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2006-07-09T00:00:00Z
Theft of Bicycle,2006,7,26,22,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2006-07-26T00:00:00Z
Theft of Bicycle,2007,5,22,18,31,10XX BEACH AVE,West End,490197.4785,5458239.4212,2007-05-22T00:00:00Z
Theft of Bicycle,2007,6,23,12,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2007-06-23T00:00:00Z
Theft of Bicycle,2007,11,12,15,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2007-11-12T00:00:00Z
Theft of Bicycle,2008,5,7,22,1,10XX BEACH AVE,West End,490197.4785,5458239.4212,2008-05-07T00:00:00Z
Theft of Bicycle,2008,6,2,16,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2008-06-02T00:00:00Z
Theft of Bicycle,2008,7,17,18,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2008-07-17T00:00:00Z
Theft of Bicycle,2008,10,15,17,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2008-10-15T00:00:00Z
Theft of Bicycle,2009,4,26,15,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2009-04-26T00:00:00Z
Theft of Bicycle,2009,5,5,16,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2009-05-05T00:00:00Z
Theft of Bicycle,2009,5,19,17,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2009-05-19T00:00:00Z
Theft of Bicycle,2009,6,29,17,50,10XX BEACH AVE,West End,490197.4785,5458239.4212,2009-06-29T00:00:00Z
Theft of Bicycle,2009,8,2,12,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2009-08-02T00:00:00Z
Theft of Bicycle,2010,2,1,9,20,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-02-01T00:00:00Z
Theft of Bicycle,2010,4,12,18,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-04-12T00:00:00Z
Theft of Bicycle,2010,5,23,12,40,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-05-23T00:00:00Z
Theft of Bicycle,2010,6,30,17,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-06-30T00:00:00Z
Theft of Bicycle,2010,9,8,18,45,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-09-08T00:00:00Z
Theft of Bicycle,2010,9,10,15,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-09-10T00:00:00Z
Theft of Bicycle,2010,9,28,17,18,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-09-28T00:00:00Z
Theft of Bicycle,2010,10,5,15,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2010-10-05T00:00:00Z
Theft of Bicycle,2011,6,21,18,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2011-06-21T00:00:00Z
Theft of Bicycle,2012,8,31,22,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2012-08-31T00:00:00Z
Theft of Bicycle,2014,4,25,18,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2014-04-25T00:00:00Z
Theft of Bicycle,2014,10,3,15,5,10XX BEACH AVE,West End,490197.4785,5458239.4212,2014-10-03T00:00:00Z
Theft of Bicycle,2015,3,21,13,45,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-03-21T00:00:00Z
Theft of Bicycle,2015,4,27,17,45,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-04-27T00:00:00Z
Theft of Bicycle,2015,5,7,18,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-05-07T00:00:00Z
Theft of Bicycle,2015,5,11,18,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-05-11T00:00:00Z
Theft of Bicycle,2015,6,8,17,10,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-06-08T00:00:00Z
Theft of Bicycle,2015,6,15,19,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-06-15T00:00:00Z
Theft of Bicycle,2015,7,4,20,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-07-04T00:00:00Z
Theft of Bicycle,2015,12,14,8,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2015-12-14T00:00:00Z
Theft of Bicycle,2016,9,5,15,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2016-09-05T00:00:00Z
Theft of Bicycle,2016,9,5,18,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2016-09-05T00:00:00Z
Theft of Bicycle,2020,10,18,14,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2020-10-18T00:00:00Z
Theft of Bicycle,2020,11,3,19,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2020-11-03T00:00:00Z
Theft of Bicycle,2017,3,9,6,45,10XX BEACH AVE,West End,490197.8719,5458238.7921,2017-03-09T00:00:00Z
Theft of Bicycle,2017,4,16,19,0,10XX BEACH AVE,West End,490197.8719,5458238.7921,2017-04-16T00:00:00Z
Theft of Bicycle,2017,6,4,13,0,10XX BEACH AVE,West End,490197.8719,5458238.7921,2017-06-04T00:00:00Z
Theft of Bicycle,2017,8,6,12,0,10XX BEACH AVE,West End,490197.8719,5458238.7921,2017-08-06T00:00:00Z
Theft of Bicycle,2017,9,27,14,58,10XX BEACH AVE,West End,490197.8719,5458238.7921,2017-09-27T00:00:00Z
Theft of Bicycle,2017,10,10,5,30,10XX BEACH AVE,West End,490197.8719,5458238.7921,2017-10-10T00:00:00Z
Theft of Bicycle,2017,10,15,13,0,10XX BEACH AVE,West End,490197.8719,5458238.7921,2017-10-15T00:00:00Z
Theft of Bicycle,2018,9,19,6,45,10XX BEACH AVE,West End,490197.8719,5458238.7921,2018-09-19T00:00:00Z
Theft of Bicycle,2022,7,12,19,0,10XX BEACH AVE,West End,490197.8719,5458238.7921,2022-07-12T00:00:00Z
Theft of Bicycle,2022,9,17,8,0,10XX BEACH AVE,West End,490197.8719,5458238.7921,2022-09-17T00:00:00Z
Theft of Bicycle,2003,6,1,16,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2003-06-01T00:00:00Z
Theft of Bicycle,2003,10,9,9,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2003-10-09T00:00:00Z
Theft of Bicycle,2004,10,2,13,50,10XX BEACH AVE,West End,490227.2225,5458210.3785,2004-10-02T00:00:00Z
Theft of Bicycle,2005,3,30,8,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2005-03-30T00:00:00Z
Theft of Bicycle,2005,11,4,16,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2005-11-04T00:00:00Z
Theft of Bicycle,2006,7,6,23,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2006-07-06T00:00:00Z
Theft of Bicycle,2006,8,2,22,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2006-08-02T00:00:00Z
Theft of Bicycle,2007,3,12,15,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2007-03-12T00:00:00Z
Theft of Bicycle,2007,3,12,15,30,10XX BEACH AVE,West End,490227.2225,5458210.3785,2007-03-12T00:00:00Z
Theft of Bicycle,2007,7,2,20,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2007-07-02T00:00:00Z
Theft of Bicycle,2007,8,17,19,40,10XX BEACH AVE,West End,490227.2225,5458210.3785,2007-08-17T00:00:00Z
Theft of Bicycle,2008,4,13,9,30,10XX BEACH AVE,West End,490227.2225,5458210.3785,2008-04-13T00:00:00Z
Theft of Bicycle,2008,6,22,15,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2008-06-22T00:00:00Z
Theft of Bicycle,2008,7,21,16,30,10XX BEACH AVE,West End,490227.2225,5458210.3785,2008-07-21T00:00:00Z
Theft of Bicycle,2009,6,10,0,30,10XX BEACH AVE,West End,490227.2225,5458210.3785,2009-06-10T00:00:00Z
Theft of Bicycle,2009,9,2,11,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2009-09-02T00:00:00Z
Theft of Bicycle,2010,10,3,21,30,10XX BEACH AVE,West End,490227.2225,5458210.3785,2010-10-03T00:00:00Z
Theft of Bicycle,2011,6,29,14,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2011-06-29T00:00:00Z
Theft of Bicycle,2011,7,1,15,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2011-07-01T00:00:00Z
Theft of Bicycle,2012,7,31,21,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2012-07-31T00:00:00Z
Theft of Bicycle,2012,9,6,23,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2012-09-06T00:00:00Z
Theft of Bicycle,2012,9,18,18,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2012-09-18T00:00:00Z
Theft of Bicycle,2013,1,9,1,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2013-01-09T00:00:00Z
Theft of Bicycle,2013,5,25,12,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2013-05-25T00:00:00Z
Theft of Bicycle,2013,6,1,17,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2013-06-01T00:00:00Z
Theft of Bicycle,2013,6,3,18,30,10XX BEACH AVE,West End,490227.2225,5458210.3785,2013-06-03T00:00:00Z
Theft of Bicycle,2013,7,30,19,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2013-07-30T00:00:00Z
Theft of Bicycle,2013,8,3,20,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2013-08-03T00:00:00Z
Theft of Bicycle,2014,6,27,22,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2014-06-27T00:00:00Z
Theft of Bicycle,2014,8,4,0,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2014-08-04T00:00:00Z
Theft of Bicycle,2015,4,12,14,32,10XX BEACH AVE,West End,490227.2225,5458210.3785,2015-04-12T00:00:00Z
Theft of Bicycle,2015,6,16,19,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2015-06-16T00:00:00Z
Theft of Bicycle,2015,8,23,7,1,10XX BEACH AVE,West End,490227.2225,5458210.3785,2015-08-23T00:00:00Z
Theft of Bicycle,2015,9,21,19,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2015-09-21T00:00:00Z
Theft of Bicycle,2019,7,1,12,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2019-07-01T00:00:00Z
Theft of Bicycle,2020,5,30,4,11,10XX BEACH AVE,West End,490227.2225,5458210.3785,2020-05-30T00:00:00Z
Theft of Bicycle,2022,9,18,3,0,10XX BEACH AVE,West End,490227.2225,5458210.3785,2022-09-18T00:00:00Z
Theft of Bicycle,2017,3,29,22,30,10XX BEACH AVE,West End,490228.7807,5458208.3497,2017-03-29T00:00:00Z
Theft of Bicycle,2017,6,14,18,4,10XX BEACH AVE,West End,490228.7807,5458208.3497,2017-06-14T00:00:00Z
Theft of Bicycle,2018,6,18,20,0,10XX BEACH AVE,West End,490228.7807,5458208.3497,2018-06-18T00:00:00Z
Theft of Bicycle,2019,3,24,19,30,10XX BEACH AVE,West End,490228.7807,5458208.3497,2019-03-24T00:00:00Z
Theft of Bicycle,2022,7,14,18,30,10XX BEACH AVE,West End,490228.7807,5458208.3497,2022-07-14T00:00:00Z
Theft of Bicycle,2008,8,26,17,0,10XX BEACH AVE,West End,490232.6157,5458203.356,2008-08-26T00:00:00Z
Theft of Bicycle,2019,7,31,17,0,10XX BEACH AVE,West End,490232.6157,5458203.356,2019-07-31T00:00:00Z
Theft of Bicycle,2021,7,6,18,30,10XX BEACH AVE,West End,490234.4136,5458201.015,2021-07-06T00:00:00Z
Theft of Bicycle,2019,3,24,15,0,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328,2019-03-24T00:00:00Z
Theft of Bicycle,2006,1,6,19,30,10XX BEACH AVE,Central Business District,490249.3649,5458166.6581,2006-01-06T00:00:00Z
Theft of Bicycle,2011,7,12,15,0,10XX BEACH AVE,Central Business District,490249.3649,5458166.6581,2011-07-12T00:00:00Z
Theft of Bicycle,2013,3,10,22,0,10XX BEACH AVE,Central Business District,490249.3649,5458166.6581,2013-03-10T00:00:00Z
Theft of Bicycle,2020,6,12,9,25,10XX BEACH AVE,Central Business District,490249.3649,5458166.6581,2020-06-12T00:00:00Z
Theft of Bicycle,2020,10,20,17,30,10XX BEACH AVE,Central Business District,490249.3649,5458166.6581,2020-10-20T00:00:00Z
Theft of Bicycle,2021,8,12,19,30,10XX BEACH AVE,Central Business District,490249.3649,5458166.6581,2021-08-12T00:00:00Z
Theft of Bicycle,2003,4,4,0,0,10XX BEACH AVE,Central Business District,490252.3815,5458162.7231,2003-04-04T00:00:00Z
Theft of Bicycle,2005,9,26,23,0,10XX BEACH AVE,Central Business District,490252.3815,5458162.7231,2005-09-26T00:00:00Z
Theft of Bicycle,2019,4,6,12,0,10XX BEACH AVE,Central Business District,490252.3815,5458162.7231,2019-04-06T00:00:00Z
Theft of Bicycle,2005,9,13,10,30,10XX BEACH AVE,Central Business District,490255.3982,5458158.7882,2005-09-13T00:00:00Z
Theft of Bicycle,2013,4,30,9,30,10XX BEACH AVE,Central Business District,490255.3982,5458158.7882,2013-04-30T00:00:00Z
Theft of Bicycle,2013,12,23,0,0,10XX BEACH AVE,Central Business District,490255.3982,5458158.7882,2013-12-23T00:00:00Z
Theft of Bicycle,2020,10,1,0,0,10XX BEACH AVE,Central Business District,490255.3982,5458158.7882,2020-10-01T00:00:00Z
Theft of Bicycle,2003,6,15,13,0,10XX BEACH AVE,Central Business District,490258.4148,5458154.8532,2003-06-15T00:00:00Z
Theft of Bicycle,2007,11,1,16,0,10XX BEACH AVE,Central Business District,490258.4148,5458154.8532,2007-11-01T00:00:00Z
Theft of Bicycle,2010,7,3,22,0,10XX BEACH AVE,Central Business District,490258.4148,5458154.8532,2010-07-03T00:00:00Z
Theft of Bicycle,2013,6,20,18,15,10XX BEACH AVE,Central Business District,490258.4148,5458154.8532,2013-06-20T00:00:00Z
Theft of Bicycle,2017,8,2,20,30,10XX BEACH AVE,Central Business District,490268.432,5458142.577,2017-08-02T00:00:00Z
Theft of Bicycle,2018,2,8,8,30,10XX BEACH AVE,Central Business District,490268.432,5458142.577,2018-02-08T00:00:00Z
Theft of Bicycle,2018,3,12,23,0,10XX BEACH AVE,Central Business District,490268.432,5458142.577,2018-03-12T00:00:00Z
Theft of Bicycle,2018,3,20,12,0,10XX BEACH AVE,Central Business District,490268.432,5458142.577,2018-03-20T00:00:00Z
Theft of Bicycle,2018,9,3,19,0,10XX BEACH AVE,Central Business District,490268.432,5458142.577,2018-09-03T00:00:00Z
Theft of Bicycle,2018,11,8,12,15,10XX BEACH AVE,Central Business District,490268.432,5458142.577,2018-11-08T00:00:00Z
Theft of Bicycle,2003,7,10,12,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2003-07-10T00:00:00Z
Theft of Bicycle,2003,7,26,8,15,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2003-07-26T00:00:00Z
Theft of Bicycle,2005,3,24,18,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2005-03-24T00:00:00Z
Theft of Bicycle,2005,7,27,20,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2005-07-27T00:00:00Z
Theft of Bicycle,2005,9,17,18,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2005-09-17T00:00:00Z
Theft of Bicycle,2005,9,18,0,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2005-09-18T00:00:00Z
Theft of Bicycle,2006,7,28,9,30,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2006-07-28T00:00:00Z
Theft of Bicycle,2007,7,24,12,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2007-07-24T00:00:00Z
Theft of Bicycle,2009,7,12,16,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2009-07-12T00:00:00Z
Theft of Bicycle,2009,9,20,11,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2009-09-20T00:00:00Z
Theft of Bicycle,2013,2,4,18,30,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2013-02-04T00:00:00Z
Theft of Bicycle,2014,8,2,11,52,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2014-08-02T00:00:00Z
Theft of Bicycle,2014,8,26,1,13,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2014-08-26T00:00:00Z
Theft of Bicycle,2014,12,21,8,18,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2014-12-21T00:00:00Z
Theft of Bicycle,2015,5,10,14,49,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2015-05-10T00:00:00Z
Theft of Bicycle,2016,5,18,13,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2016-05-18T00:00:00Z
Theft of Bicycle,2019,9,5,21,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2019-09-05T00:00:00Z
Theft of Bicycle,2020,10,6,8,28,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2020-10-06T00:00:00Z
Theft of Bicycle,2021,7,20,19,0,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2021-07-20T00:00:00Z
Theft of Bicycle,2021,7,23,6,12,10XX BEACH AVE,Central Business District,490269.91,5458141.1263,2021-07-23T00:00:00Z
Theft of Bicycle,2019,8,7,17,0,10XX BEATTY WALK,Central Business District,491349.0184,5458008.109,2019-08-07T00:00:00Z
Theft of Bicycle,2009,7,23,15,0,10XX BIDWELL ST,West End,489996.7843,5459475.1802,2009-07-23T00:00:00Z
Theft of Bicycle,2015,6,20,15,0,10XX BROUGHTON ST,West End,490215.8665,5459139.4735,2015-06-20T00:00:00Z
Theft of Bicycle,2017,2,20,6,50,10XX BROUGHTON ST,West End,490217.5983,5459141.2169,2017-02-20T00:00:00Z
Theft of Bicycle,2017,3,27,10,52,10XX BROUGHTON ST,West End,490217.5983,5459141.2169,2017-03-27T00:00:00Z
Theft of Bicycle,2017,6,10,20,17,10XX BROUGHTON ST,West End,490217.5983,5459141.2169,2017-06-10T00:00:00Z
Theft of Bicycle,2015,9,14,8,30,10XX BROUGHTON ST,West End,490231.0872,5459141.8211,2015-09-14T00:00:00Z
Theft of Bicycle,2017,4,26,8,1,10XX BROUGHTON ST,West End,490247.1512,5459171.0415,2017-04-26T00:00:00Z
Theft of Bicycle,2015,7,5,11,20,10XX BROUGHTON ST,West End,490247.4903,5459171.3852,2015-07-05T00:00:00Z
Theft of Bicycle,2021,9,3,2,55,10XX BROUGHTON ST,West End,490247.4903,5459171.3852,2021-09-03T00:00:00Z
Theft of Bicycle,2020,8,19,17,38,10XX BROUGHTON ST,West End,490254.0011,5459164.9647,2020-08-19T00:00:00Z
